[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/31/academic-year-planner-2.svg → 200 (16ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/2a/acceleration-vector.svg → 200 (16ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/af/accelerometer.svg → 200 (19ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/c9/accent-mark.svg → 200 (16ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/15/accept-reject-pair.svg → 200 (27ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/d6/acceptance-criterion.svg → 200 (26ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/07/access-card.svg → 200 (27ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/ae/access-control-list.svg → 200 (28ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/f7/access-control-reader.svg → 200 (28ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/f7/access-point.svg → 200 (28ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/b6/access-request.svg → 200 (30ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/af/accessibility.svg → 200 (32ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/b2/accessibility-2.svg → 200 (30ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/79/accessibility-check.svg → 200 (32ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/79/accessibility-label.svg → 200 (32ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/03/accessibility-platform.svg → 200 (33ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/c9/accessibility-symbol.svg → 200 (33ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/c8/accessible-parking-sign.svg → 200 (34ms, ?B)
[2026-08-14T10:37:23.577Z] GET http://127.0.0.1:4173/icons/sets/drawn/88/accessible-route-sign.svg → 200 (34ms, ?B)
[2026-08-14T10:37:23.578Z] GET http://127.0.0.1:4173/icons/sets/drawn/6b/accordion.svg → 200 (33ms, ?B)
[2026-08-14T10:37:23.578Z] GET http://127.0.0.1:4173/icons/sets/drawn/a9/accordion-band-setting.svg → 200 (34ms, ?B)
[2026-08-14T10:37:23.578Z] GET http://127.0.0.1:4173/icons/sets/drawn/78/accordion-case.svg → 200 (34ms, ?B)
[2026-08-14T10:37:23.578Z] GET http://127.0.0.1:4173/icons/sets/drawn/9f/accordion-hand-it.svg → 200 (34ms, ?B)
[2026-08-14T10:37:23.578Z] GET http://127.0.0.1:4173/icons/sets/drawn/a4/accordion-leaning-against-wall.svg → 200 (35ms, ?B)
[2026-08-14T10:37:23.578Z] GET http://127.0.0.1:4173/icons/sets/drawn/28/accordion-sheet-music.svg → 200 (35ms, ?B)
[2026-08-14T10:37:23.578Z] GET http://127.0.0.1:4173/icons/sets/drawn/77/accordion-stand.svg → 200 (36ms, ?B)
[2026-08-14T10:37:23.578Z] GET http://127.0.0.1:4173/icons/sets/drawn/a9/account-balance-card.svg → 200 (36ms, ?B)
[2026-08-14T10:37:23.579Z] GET http://127.0.0.1:4173/icons/sets/drawn/e1/account-deletion-request.svg → 200 (35ms, ?B)
[2026-08-14T10:37:23.579Z] GET http://127.0.0.1:4173/icons/sets/drawn/9f/account-deletion-request-drawn.svg → 200 (35ms, ?B)
[2026-08-14T10:37:23.579Z] GET http://127.0.0.1:4173/icons/sets/drawn/a7/account-deletion-request-hand.svg → 200 (36ms, ?B)
[2026-08-14T10:37:23.579Z] GET http://127.0.0.1:4173/icons/sets/drawn/13/account-locked-out.svg → 200 (37ms, ?B)
[2026-08-14T10:37:23.579Z] GET http://127.0.0.1:4173/icons/sets/drawn/94/account-locked-out-drawn.svg → 200 (43ms, ?B)
[2026-08-14T10:37:23.579Z] GET http://127.0.0.1:4173/icons/sets/drawn/63/account-manager.svg → 200 (37ms, ?B)
[2026-08-14T10:37:23.580Z] GET http://127.0.0.1:4173/icons/sets/drawn/5a/account-manager-shaking-hands.svg → 200 (42ms, ?B)
